Karizma ZMR	http://www.heromotocorp.com/en-in/the-bike/karizma-zmr-44.html	Air cooled, 4- stroke single cylinder OHC, Fuel Injection, Oil Cooler	14.9 kW (20 BHP) @ 8000 rpm	223 cc	15.3 Litre	FI, Fuel Injection			157 kgs			
Karizma	http://www.heromotocorp.com/en-in/the-bike/karizma-43.html	Air cooled, 4-Stroke Single Cylinder OHC	14.32 kW (19.2 BHP ) @ 7500 rpm	223 cc	15 Litre	CV Carburetor			154 Kg			
Xtreme Sports	http://www.heromotocorp.com/en-in/the-bike/xtreme-sports-74.html	Air Cooled, 4 - Stroke Single Cylinder OHC	11.64 KW (15.6 BHP) @ 8500 rpm	149.2 cc			2100 mm	780 mm	146 Kg (Brakes - FR/RR -> Disc/Drum)147 Kg (Brakes - FR/RR -> Disc/Disc)	1080 mm	Self start / Kick start	
Xtreme	http://www.heromotocorp.com/en-in/the-bike/xtreme-64.html	Air cooled, 4 - stroke single cylinder OHC	10.6 KW (14.4 Ps) @ 8500 rpm	149.2 cc	12.1 litre (Min)		2060mm	765mm	145 kg (Brakes - FR / RR - Disc /Drum) 146 kg (Brakes - FR / RR - Disc /Drum)	1145mm	Self Start / Kick Start	AMI - Advanced Microprocessor Ignition System
Hunk	http://www.heromotocorp.com/en-in/the-bike/hunk-42.html	Air Cooled, 4 - Stroke Single Cylinder OHC	10.6 kW (14.4 Ps) @ 8500rpm	149.2 cc	12.4 litres (Minimum)		2080 mm	765 mm	147 kg	1095 mm	Self Start / Kick Start	AMI - Advanced Microprocessor Ignition System
Impulse	http://www.heromotocorp.com/en-in/the-bike/impulse-50.html	Air cooled, 4- stroke single cylinder OHC	9.7 kW (13.2 Ps) @ 7500 rpm	149.2 cc	11.1 Litre (Min)		2100 mm	820 mm		1160 mm	Self start	D.C - CDI Ignition system
ACHIEVER	http://www.heromotocorp.com/en-in/the-bike/achiever-60.html	Air-cooled, 4-stroke single cylinder OHC	10 kW (13.4 BHP) @ 8000 RPM	149.1 cc	12.5 Ltrs (Min)		2040 mm	760 mm	134 Kg (Kick) / 138 Kg (Self)	1120 mm	Kick start / Self start	Advanced Microprocessor Ignition System (AMI)
Ignitor	http://www.heromotocorp.com/en-in/the-bike/ignitor-48.html	Air cooled, 4 - stroke single cylinder OHC	8.2 kW ( 11.1 Ps ) @ 8000 rpm	124.7 cc	9.0 Ltrs Minimum		2010 mm	710 mm	129 kg	1095 mm	Self Start / Kick Start	Digital CDI
Glamour Programmed FI	http://www.heromotocorp.com/en-in/the-bike/glamour-programmed-fi-62.html	Air Cooled 4 - Stroke Single Cylinder OHC	6.72 KW (9.1 Ps) @ 7000 rpm	124.8 cc	12 ltrs (Min)		2005 mm	735 mm	125 kg (Kick)/ 129 kg (Self)	1070 mm	Self start / Kick start	DC - FTi - D.C Full Transistorised Ignition
Glamour	http://www.heromotocorp.com/en-in/the-bike/glamour-61.html	Air cooled, 4-stroke single cylinder OHC	6.72 KW (9.1 Ps) @ 7000 RPM	124.7 cc	13.6 Ltrs (Min)		2005 mm	735 mm	125 Kg (Kick) / 129 Kg (Self)	1070 mm	Self start / Kick start	AMI - Advanced Microprocessor Ignition System
Super Splendor	http://www.heromotocorp.com/en-in/the-bike/super-splendor-57.html	Air cooled, 4 - stroke single cylinder OHC	6.72 KW (9.12 Ps) @ 7000 rpm	124.7 cc	13 ltrs. (Min)		1995 mm	735 mm	121 Kg (Self)	1095 mm	Kick Start / Self Start	Advanced micro processor ignition (AMI) system
Passion XPRO	http://www.heromotocorp.com/en-in/the-bike/passion-xpro-47.html	Air cooled, 4 - stroke single cylinder OHC	6.4 kW (8.7 Ps) @ 7500 rpm	109.1 cc	9.5 litre (Min)		2005	765	113 Kg (Spoke Kick), 114 Kg (Spoke Self), 115 Kg (Cast Kick), 116 Kg (Cast Self)	1115	Kick Start / Electric Start	Full Transisterised Ignition System
Passion PRO	http://www.heromotocorp.com/en-in/the-bike/passion-pro-56.html	Air Cooled, 4 - Stroke Single Cylinder OHC	6.15 kW (8.36 Ps) @ 8000 rpm	97.2 cc	12.5 Litre		1980 mm	765 mm	112 Kg (Drum-Kick) / 115 Kg (Drum-Self) / 116 Kg (Disc-Self)	1075 mm		DC - Digital CDI
Passion PRO TR	http://www.heromotocorp.com/en-in/the-bike/passion-pro-tr-72.html	Air Cooled, 4-Stroke Single Cylinder OHC	6.15 kW (8.36 Ps) @ 8000 rpm	97.2 cc	12.8 Litre (min)		1980 mm	840 mm	119 Kg (Self)	1085 mm		DC - Digital CDI
Splendor iSmart	http://www.heromotocorp.com/en-in/the-bike/splendor-ismart-69.html	Air Cooled, 4 - Stroke Single Cylinder OHC	6.15 KW (8.36 Ps) @ 8000 rpm	97.2 cc	8.7 Litre		1965 mm	770 mm	110 Kg (Self)	1095 mm	Self Start / Kick Start	DC - Digital CDI
Splendor PRO Classic	http://www.heromotocorp.com/en-in/the-bike/splendor-pro-classic-73.html	Air Cooled, 4 - Stroke Single Cylinder OHC	6.15 kW (8.36 Ps) @ 8000 rpm	97.2 cc	11 Ltrs		1935 mm	720 mm	109 Kg (Self)	1020 mm	Kick start / Self start	DC - Digital CDI
Splendor PRO	http://www.heromotocorp.com/en-in/the-bike/splendor-pro-63.html	Air-cooled, 4-stroke single cylinder OHC	6.15 KW (8.36 Ps) @ 8000 rpm	97.2 cc	11 Litres (Minimum)		1970 mm	720 mm	109 kg (Kick), 112 kg (Self)	1040 mm	Kick Start / Self Start	DC - Digital CDI
Splendor+	http://www.heromotocorp.com/en-in/the-bike/splendor-54.html	Air cooled, 4 - stroke single cylinder OHC	6.15 kW (8.36 Ps) @ 8000 rpm	97.2 cc	11 ltrs ( Min)		2000 mm	720 mm	109 kg	1040 mm	Kick start	DC - Digital CDI
HF Deluxe Eco	http://www.heromotocorp.com/en-in/the-bike/hf-deluxe-eco-70.html	Air cooled, 4 - stroke single cylinder OHC	6.15 KW (8.36 Ps) @ 8000 rpm	97.2 cc	10.5 ltrs		1965 mm	720 mm	112 Kg (Self)	1045 mm	Kick / Self Start	
HF Deluxe	http://www.heromotocorp.com/en-in/the-bike/hf-deluxe-52.html	Air cooled, 4 - stroke single cylinder OHC	6.15 kW (8.36 Ps) @ 8000 rpm	97.2 cc	9.5 ltrs (Min)		1965 mm	720 mm	107 Kg (Kick) / 110 Kg (Self)	1045 mm	Kick start / Self start	DC - Digital CDI
HF Dawn	http://www.heromotocorp.com/en-in/the-bike/hf-dawn-51.html	Air cooled 4 - stroke single cylinder OHC	6.15 kW ( 8.36 Ps ) @ 8000 rpm	97.2 cc	10.5 Ltrs		1965 mm	720 mm	109 kg	1045 mm	Kick start	DC - Digital CDI
Maestro	http://www.heromotocorp.com/en-in/the-bike/maestro-49.html	Air cooled, 4 - stroke single cylinder OHC, Self Start	6.0 kW ( 8.2 Ps ) @ 7500 rpm	109 cc	5.3 litre ( Min )				110 Kg			CDI System
Pleasure	http://www.heromotocorp.com/en-in/the-bike/pleasure-53.html	Air-cooled, 4-stroke Single Cylinder OHC	5.03 KW @ 7000 rpm	102 cc	5 Litre (Min)		1750 mm	705 mm	101 Kg	1115 mm	Self start	CDI
